"","t","scenario","function.int","Population","N"
"377",6,"medium",4,"Ni",328371.902145506
"378",6,"medium",4,"Nj",4861.84867109474
"379",7,"medium",4,"Ni",88660.4135792867
"380",7,"medium",4,"Nj",13126.9914119558
"381",8,"medium",4,"Ni",23938.3116664074
"382",8,"medium",4,"Nj",35442.8768122807
"383",9,"medium",4,"Ni",6463.34414993
"384",9,"medium",4,"Nj",95695.7673931578
"385",10,"medium",4,"Ni",1745.1029204811
"386",10,"medium",4,"Nj",258378.571961526
"387",11,"medium",4,"Ni",Inf
"388",11,"medium",4,"Nj",697622.14429612
"389",12,"medium",4,"Ni",Inf
"390",12,"medium",4,"Nj",1883579.78959952
"391",13,"medium",4,"Ni",Inf
"392",13,"medium",4,"Nj",5085665.43191872
"393",14,"medium",4,"Ni",Inf
"394",14,"medium",4,"Nj",13731296.6661805
"395",15,"medium",4,"Ni",Inf
"396",15,"medium",4,"Nj",37074500.9986875
"397",16,"medium",4,"Ni",Inf
"398",16,"medium",4,"Nj",100101152.696456
"399",17,"medium",4,"Ni",Inf
"400",17,"medium",4,"Nj",270273112.280432
"401",18,"medium",4,"Ni",Inf
"402",18,"medium",4,"Nj",729737403.157165
"403",19,"medium",4,"Ni",Inf
"404",19,"medium",4,"Nj",1970290988.52435
"405",20,"medium",4,"Ni",Inf
"406",20,"medium",4,"Nj",5319785669.01574
"407",21,"medium",4,"Ni",Inf
"408",21,"medium",4,"Nj",14363421306.3425
"409",22,"medium",4,"Ni",Inf
"410",22,"medium",4,"Nj",38781237527.1247
"411",23,"medium",4,"Ni",Inf
"412",23,"medium",4,"Nj",104709341323.237
"413",24,"medium",4,"Ni",Inf
"414",24,"medium",4,"Nj",282715221572.739
"415",25,"medium",4,"Ni",Inf
"416",25,"medium",4,"Nj",763331098246.396
"417",0,"high",1,"Ni",140.248566152459
"418",0,"high",1,"Nj",1.75948643039107
"419",1,"high",1,"Ni",37.8671148575412
"420",1,"high",1,"Nj",5.41340198184548
"421",2,"high",1,"Ni",17.1951441189187
"422",2,"high",1,"Nj",98.5678409652033
"423",3,"high",1,"Ni",727.032134809133
"424",3,"high",1,"Nj",18.8932850323008
"425",4,"high",1,"Ni",196.298676398466
"426",4,"high",1,"Nj",2.83410787214985
"427",5,"high",1,"Ni",53.0006426279692
"428",5,"high",1,"Nj",2.89736837868027
"429",6,"high",1,"Ni",15.1388375368664
"430",6,"high",1,"Nj",46.316996271197
"431",7,"high",1,"Ni",269.579947913377
"432",7,"high",1,"Nj",83.6380899805447
"433",8,"high",1,"Ni",72.7865859366119
"434",8,"high",1,"Nj",12.6050495684225
"435",9,"high",1,"Ni",19.7134306806641
"436",9,"high",1,"Nj",69.8668429202459
"437",10,"high",1,"Ni",292.160401807344
"438",10,"high",1,"Nj",30.918646405704
"439",11,"high",1,"Ni",78.883308487983
"440",11,"high",1,"Nj",5.18434673158542
"441",12,"high",1,"Ni",21.3196402961148
"442",12,"high",1,"Nj",42.2153373269418
"443",13,"high",1,"Ni",133.009253550603
"444",13,"high",1,"Nj",88.4041808709164
"445",14,"high",1,"Ni",35.912542342102
"446",14,"high",1,"Nj",13.9765425501444
"447",15,"high",1,"Ni",20.6819373062512
"448",15,"high",1,"Nj",146.696289228195
"449",16,"high",1,"Ni",1513.4462186921
"450",16,"high",1,"Nj",22.203684679052
"451",17,"high",1,"Ni",408.630479046868
"452",17,"high",1,"Nj",3.33055270187073
"453",18,"high",1,"Ni",110.330229342654
"454",18,"high",1,"Nj",0.537589837048908
"455",19,"high",1,"Ni",29.7893403220697
"456",19,"high",1,"Nj",3.22152350560187
"457",20,"high",1,"Ni",26.8989140147239
"458",20,"high",1,"Nj",80.3069057216616
"459",21,"high",1,"Ni",165.842051338363
"460",21,"high",1,"Nj",21.8593065744954
"461",22,"high",1,"Ni",44.777353925181
"462",22,"high",1,"Nj",12.6683004294575
"463",23,"high",1,"Ni",15.3329893532351
"464",23,"high",1,"Nj",121.86936439438
"465",24,"high",1,"Ni",1484.09766986292
"466",24,"high",1,"Nj",19.320638556601
"467",25,"high",1,"Ni",400.706370862988
"468",25,"high",1,"Nj",2.89809578351507
"469",0,"high",2,"Ni",140.248566152459
"470",0,"high",2,"Nj",1.75948643039107
"471",1,"high",2,"Ni",37.8671456270315
"472",1,"high",2,"Nj",0.29081394123662
"473",2,"high",2,"Ni",26.3784904498435
"474",2,"high",2,"Nj",0.598154083749741
"475",3,"high",2,"Ni",69.6845754731416
"476",3,"high",2,"Nj",2.29407234023842
"477",4,"high",2,"Ni",19.2627517414485
"478",4,"high",2,"Nj",1.72034098602197
"479",5,"high",2,"Ni",162.498916305163
"480",5,"high",2,"Nj",19.5237476404893
"481",6,"high",2,"Ni",43.8747076603056
"482",6,"high",2,"Nj",2.95755178460839
"483",7,"high",2,"Ni",24.4986812377489
"484",7,"high",2,"Nj",7.7885342596133
"485",8,"high",2,"Ni",160.110290053301
"486",8,"high",2,"Nj",75.5707755552005
"487",9,"high",2,"Ni",43.2297783176413
"488",9,"high",2,"Nj",11.3488976694503
"489",10,"high",2,"Ni",26.0986896744983
"490",10,"high",2,"Nj",33.7526617331499
"491",11,"high",2,"Ni",10.6796831561321
"492",11,"high",2,"Nj",32.8210979497604
"493",12,"high",2,"Ni",7.26700124481242
"494",12,"high",2,"Nj",133.172471091721
"495",13,"high",2,"Ni",1.96325996272781
"496",13,"high",2,"Nj",29.747531522775
"497",14,"high",2,"Ni",7.13583130883787
"498",14,"high",2,"Nj",126.11974986522
"499",15,"high",2,"Ni",1.92875963699611
"500",15,"high",2,"Nj",31.2080662900974
"501",16,"high",2,"Ni",6.36546397564894
"502",16,"high",2,"Nj",124.806540030963
"503",17,"high",2,"Ni",1.7210775309253
"504",17,"high",2,"Nj",31.4977868929472
"505",18,"high",2,"Ni",6.01696606741412
