"","Time","Seeds i","Plants i","Biomass i","Seeds j","Plants j","Biomass j"
"",8.8675,58156.5767738779,50.4727197282244,124.210090473104,141204.670261682,122.548199047978,237.63885872744
"",8.868,58153.6399409065,50.4992729825675,124.226983114302,141204.246648307,122.618494818839,237.652065097473
"",8.8685,58150.7032562414,50.5258234409383,124.243818700257,141203.823036202,122.688790202153,237.665200754663
"",8.869,58147.7667198751,50.5523711035509,124.260597439307,141203.399425369,122.759085197924,237.678266053848
"",8.8695,58144.8303318002,50.5789159706192,124.277319539024,141202.975815806,122.829379806153,237.691261348207
"",8.87,58141.8940920091,50.6054580423569,124.293985206215,141202.552207514,122.899674026841,237.704186989264
"",8.8705,58138.9580004944,50.6319973189783,124.310594646927,141202.128600493,122.969967859991,237.717043326895
"",8.871,58136.0220572486,50.6585338006969,124.327148066449,141201.704994742,123.040261305603,237.729830709335
"",8.8715,58133.0862622642,50.6850674877267,124.343645669313,141201.281390263,123.11055436368,237.742549483186
"",8.872,58130.1506155336,50.7115983802816,124.360087659298,141200.857787054,123.180847034222,237.755199993424
"",8.8725,58127.2151170495,50.7381264785755,124.376474239429,141200.434185116,123.251139317232,237.767782583403
"",8.873,58124.2797668043,50.7646517828221,124.392805611984,141200.010584449,123.321431212711,237.780297594863
"",8.8735,58121.3445647905,50.7911742932353,124.409081978493,141199.586985052,123.391722720661,237.792745367938
"",8.874,58118.4095110007,50.8176940100289,124.425303539743,141199.163386927,123.462013841083,237.805126241161
"",8.8745,58115.4746054274,50.8442109334165,124.441470495778,141198.739790072,123.532304573979,237.817440551472
"",8.875,58112.5398480631,50.8707250636122,124.4575830459,141198.316194488,123.602594919351,237.829688634223
"",8.8755,58109.6052389003,50.8972364008295,124.473641388678,141197.892600175,123.6728848772,237.841870823186
"",8.876,58106.6707779315,50.9237449452822,124.489645721941,141197.469007132,123.743174447527,237.85398745056
"",8.8765,58103.7364651492,50.9502506971842,124.505596242789,141197.045415361,123.813463630335,237.866038846973
"",8.877,58100.802300546,50.976753656749,124.521493147589,141196.62182486,123.883752425625,237.878025341497
"",8.8775,58097.8682841144,51.0032538241902,124.537336631982,141196.19823563,123.954040833398,237.889947261645
"",8.878,58094.9344158468,51.0297511997218,124.553126890882,141195.774647671,124.024328853657,237.901804933387
